source,target,accuracy,kappa,f1_macro,cka
8,2,0.2604166666666667,0.01388888888888884,0.17981284035462963,0.02141209025982094
8,3,0.5729166666666666,0.4305555555555556,0.5686015423036838,0.15178342974474457
8,4,0.3368055555555556,0.1157407407407407,0.2519954552137883,0.012640529019024543
8,5,0.2638888888888889,0.01851851851851849,0.17262443438914027,0.01435993548449264
8,6,0.3194444444444444,0.09259259259259256,0.2739585596841953,0.012190426146942606
8,7,0.3368055555555556,0.1157407407407407,0.28765942305869874,0.14750312846478836
8,9,0.59375,0.45833333333333337,0.5782487251704205,0.2768667284388066
9,1,0.4583333333333333,0.2777777777777778,0.3540140415140415,0.22024528160249582
9,2,0.2569444444444444,0.0092592592592593,0.20992990898629565,0.0355388118079084
9,3,0.4652777777777778,0.2870370370370371,0.4487896164141252,0.2835193144918554
9,4,0.28125,0.04166666666666663,0.20928136110355616,0.020300251603809646
9,5,0.28125,0.04166666666666663,0.2074261328328379,0.02758356891803341
9,6,0.3368055555555556,0.1157407407407407,0.3026611967156924,0.05243970321194347
9,7,0.3784722222222222,0.17129629629629628,0.28299173614813666,0.18511660716874376
9,8,0.4965277777777778,0.3287037037037037,0.5072757348884787,0.2442727838399208
