source,target,accuracy,kappa,f1_macro,ra_accuracy,proxy_train_mean_cosine,proxy_test_mean_cosine,proxy_train_mean_neg_l2,proxy_test_mean_neg_l2,proxy_test_cka,method,method_key
6,8,0.3506944444444444,0.1342592592592593,0.27338666048380866,0.4409722222222222,0.7818062331829412,0.7711544077057901,-3.969713036793465,-3.907104534593898,0.006647734807213241,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
6,9,0.3993055555555556,0.19907407407407407,0.3498971299877184,0.3819444444444444,0.8326490059992394,0.7502065388907392,-4.9033667581089455,-5.520841129430987,0.01656812673640843,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
7,1,0.4548611111111111,0.27314814814814814,0.3867426182955668,0.4756944444444444,0.7378581971313709,0.6454970980362105,-3.5803355538686166,-4.127510299051358,0.19474171590588527,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
7,2,0.24305555555555555,-0.0092592592592593,0.11837307152875176,0.1666666666666666,0.7506967131261645,0.5461552671028854,-3.357108456508063,-14.155937718666937,0.014583218570748475,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
7,3,0.5381944444444444,0.3842592592592593,0.49695074335105527,0.5729166666666666,0.7118812997934925,0.5894743790604687,-3.5234210283695186,-3.9499748269080452,0.08682055105341623,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
7,4,0.25,0.0,0.2116603507545725,0.2986111111111111,0.7753380682016351,0.6222899431360288,-3.288272271925924,-4.258819318385745,0.01662552798348705,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
7,5,0.2673611111111111,0.02314814814814814,0.1778788724776422,0.3055555555555556,0.7207814241864431,0.43964136533515863,-3.7070873042247476,-6.4989926612768985,0.020389123302858775,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
7,6,0.2708333333333333,0.02777777777777779,0.243958448564489,0.2569444444444444,0.7181257868955417,0.6721805559244158,-3.749093279450532,-4.317580052072733,0.012989526516913437,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
7,8,0.4027777777777778,0.20370370370370372,0.38524584199677436,0.4861111111111111,0.6121862389614942,0.5602883467256405,-3.957482389483094,-4.160162827409635,0.025752490425220737,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
7,9,0.4826388888888889,0.31018518518518523,0.48711456924723917,0.5486111111111112,0.7437522881644976,0.7031470767816935,-3.149678699542253,-3.311254041283591,0.05289175369240775,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
8,1,0.5138888888888888,0.35185185185185186,0.45689351459123484,0.5381944444444444,0.8544627521008695,0.793792488836296,-4.613552383201877,-3.8277939643849686,0.08471677720546301,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
8,2,0.22569444444444445,-0.03240740740740744,0.1660655832963893,0.2152777777777778,0.7999675394905392,0.7726535872983636,-6.370515159992855,-11.254947825868769,0.010093581985863694,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
