policy,setting,coverage,mean_accuracy,std_accuracy,mean_delta_vs_ra,wins_vs_ra,losses_vs_ra,worst_subject_delta,late_session_acc,negative_transfer_subject_count,mean_balanced_accuracy,mean_macro_f1
sigma_recent,near_causal,0.3,0.4166666666666667,0.13419813223732904,-0.010802469135802469,1,7,-0.03819444444444442,0.38310185185185186,7,0.4166666666666667,0.3993927219473847
sigma_recent,near_causal,0.4,0.41435185185185186,0.13084335889872756,-0.013117283950617287,2,7,-0.04513888888888895,0.3877314814814815,7,0.41435185185185186,0.39636998703323356
sigma_recent,near_causal,0.5,0.41435185185185186,0.13084335889872756,-0.013117283950617287,2,7,-0.04513888888888895,0.3877314814814815,7,0.41435185185185186,0.39636998703323356
sigma_recent,near_causal,0.6,0.4182098765432099,0.13044089314024032,-0.009259259259259252,4,5,-0.038194444444444475,0.3888888888888889,5,0.41820987654320985,0.40000225698248876
sigma_recent,near_causal,0.7,0.4174382716049383,0.12601796362506076,-0.010030864197530869,4,4,-0.05208333333333337,0.39814814814814814,4,0.4174382716049383,0.3980039347026845
sigma_recent,near_causal,0.8,0.41705246913580246,0.12803091957257076,-0.010416666666666664,3,4,-0.048611111111111105,0.39467592592592593,4,0.41705246913580246,0.39549855997474226
sigma_recent,near_causal,0.9,0.4143518518518518,0.1312228991715063,-0.013117283950617283,4,5,-0.06944444444444448,0.39467592592592593,5,0.41435185185185186,0.390225241826937
sigma_recent,retrospective,0.1,0.42206790123456783,0.13623894656652674,-0.005401234567901237,2,7,-0.02083333333333337,0.40046296296296297,7,0.42206790123456783,0.4051666721396711
sigma_recent,retrospective,0.2,0.4243827160493827,0.12894967793739442,-0.0030864197530864213,2,6,-0.02430555555555558,0.4016203703703704,6,0.4243827160493827,0.40767949090061967
sigma_recent,retrospective,0.3,0.4263117283950617,0.1302057612914693,-0.0011574074074074125,4,3,-0.02777777777777779,0.400462962962963,3,0.4263117283950617,0.410155731648484
sigma_recent,retrospective,0.4,0.42206790123456794,0.12833268406454862,-0.005401234567901237,3,4,-0.04166666666666663,0.39699074074074076,4,0.42206790123456794,0.40663771707886587
sigma_recent,retrospective,0.5,0.42206790123456794,0.12833268406454862,-0.005401234567901237,3,4,-0.04166666666666663,0.39699074074074076,4,0.42206790123456794,0.40663771707886587
sigma_recent,retrospective,0.6,0.4174382716049383,0.12830528025650761,-0.010030864197530853,3,4,-0.05902777777777779,0.3923611111111111,4,0.41743827160493824,0.40159440370476784
sigma_recent,retrospective,0.7,0.41628086419753085,0.1301440170373207,-0.011188271604938278,2,6,-0.04861111111111116,0.3888888888888889,6,0.41628086419753085,0.39895229565772006
sigma_recent,retrospective,0.8,0.4139660493827161,0.128375735372545,-0.013503086419753094,3,6,-0.05208333333333337,0.38310185185185186,6,0.4139660493827161,0.39320164400393676
sigma_recent,retrospective,0.9,0.41782407407407407,0.12760121406258998,-0.009645061728395073,4,5,-0.05208333333333337,0.39467592592592593,5,0.41782407407407407,0.3942874939915092
