policy,setting,coverage,subject,policy_accuracy,ra_accuracy,delta_vs_ra,late_session_acc,negative_windows,balanced_accuracy,macro_f1
d_tgt,retrospective,0.6,8,0.5590277777777778,0.5451388888888888,0.01388888888888895,0.5520833333333334,1,0.5590277777777778,0.5091991341991341
d_tgt,retrospective,0.6,9,0.4548611111111111,0.4201388888888889,0.03472222222222221,0.3333333333333333,0,0.45486111111111105,0.46772179881498066
d_tgt,retrospective,0.7,1,0.5486111111111112,0.5520833333333334,-0.00347222222222221,0.5104166666666666,3,0.548611111111111,0.5207115869247019
d_tgt,retrospective,0.7,2,0.21180555555555555,0.21875,-0.0069444444444444475,0.2708333333333333,3,0.21180555555555558,0.19216002308674723
d_tgt,retrospective,0.7,3,0.6284722222222222,0.6527777777777778,-0.02430555555555558,0.59375,4,0.6284722222222222,0.6292756325586424
d_tgt,retrospective,0.7,4,0.3715277777777778,0.3854166666666667,-0.013888888888888895,0.375,3,0.3715277777777778,0.32525743707093824
d_tgt,retrospective,0.7,5,0.2881944444444444,0.3298611111111111,-0.041666666666666685,0.3333333333333333,5,0.2881944444444445,0.272036234062166
d_tgt,retrospective,0.7,6,0.3159722222222222,0.3541666666666667,-0.038194444444444475,0.3125,4,0.31597222222222227,0.3091491405481015
d_tgt,retrospective,0.7,7,0.3923611111111111,0.3888888888888889,0.00347222222222221,0.3125,2,0.3923611111111111,0.3824996073866378
d_tgt,retrospective,0.7,8,0.5625,0.5451388888888888,0.01736111111111116,0.5520833333333334,1,0.5625,0.5159822313846438
d_tgt,retrospective,0.7,9,0.4513888888888889,0.4201388888888889,0.03125,0.3333333333333333,1,0.4513888888888889,0.4657768732870161
d_tgt,retrospective,0.8,1,0.5486111111111112,0.5520833333333334,-0.00347222222222221,0.5104166666666666,3,0.5486111111111112,0.5165914405755572
d_tgt,retrospective,0.8,2,0.21875,0.21875,0.0,0.2708333333333333,3,0.21875,0.19795312577149687
d_tgt,retrospective,0.8,3,0.625,0.6527777777777778,-0.02777777777777779,0.59375,5,0.625,0.6255546121364264
d_tgt,retrospective,0.8,4,0.3715277777777778,0.3854166666666667,-0.013888888888888895,0.375,3,0.3715277777777778,0.32025086051626445
